epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,390,0.04742427055652325,0.009587424229352902,1.7248637174948669,34.43309294871795,86.37820512820512,65.56690705128204,13.621794871794876,0.03233140631567074,0.020914098884485945,1.6380164064407348,40.58,88.69,59.42,11.310000000000002
2,780,0.04706641710721529,0.010921290593269543,1.2529684343399146,54.42908653846154,94.57732371794872,45.57091346153846,5.422676282051285,0.03159208237370358,0.021511654310588595,1.124018674850464,59.72,96.33,40.28,3.6700000000000017
3,1170,0.046776988567450106,0.011388429005940755,0.9875607490539551,64.59334935897436,96.8369391025641,35.406650641025635,3.163060897435898,0.032576271250278135,0.02297404144383684,0.9982922788619996,65.75,97.25,34.25,2.75
4,1560,0.04662758937248817,0.011077539126078288,0.8614430974691342,69.46113782051282,97.7363782051282,30.538862179487182,2.2636217948717956,0.03243259538578082,0.021931086914448797,0.956426580619812,67.35,96.9,32.650000000000006,3.0999999999999943
5,1950,0.04598246965652857,0.010907126084352152,0.7646978952945807,73.09495192307692,98.2051282051282,26.90504807692308,1.7948717948717956,0.03155518785307679,0.02191596996935108,1.099467677116394,65.35,97.43,34.650000000000006,2.569999999999993
6,2340,0.046386544521038346,0.011163798356667544,0.6940291880797117,75.77123397435898,98.53766025641026,24.228766025641022,1.4623397435897374,0.03177843516386008,0.02331071865709522,0.8084536862373352,73.29,98.13,26.709999999999994,1.8700000000000045
7,2730,0.046663997723506045,0.011386457467690493,0.6289942671091129,78.15504807692308,98.80008012820512,21.84495192307692,1.1999198717948758,0.03215574916405014,0.021785678742807124,0.8177020383834839,72.66,98.35,27.340000000000003,1.6500000000000057
8,3120,0.0464592206172454,0.010641662891094502,0.5792427686544565,79.67347756410257,99.00841346153847,20.32652243589743,0.991586538461533,0.03161495244955715,0.022444869898542573,0.6809639311790466,76.66,98.73,23.340000000000003,1.269999999999996
9,3510,0.04598047977838761,0.010685951281816531,0.5492829747689076,80.94350961538461,99.08253205128206,19.056490384615387,0.9174679487179418,0.032096253165715856,0.02211330208597304,0.7012860847473145,76.91,98.53,23.090000000000003,1.4699999999999989
10,3900,0.046019958227108686,0.012209910001510229,0.5113895341371879,82.17948717948718,99.13060897435898,17.820512820512818,0.869391025641022,0.03183987170835085,0.02179385438750062,0.7819475438117981,75.51,98.6,24.489999999999995,1.4000000000000057
11,4290,0.04688424758422069,0.010925735571445563,0.4854192642829357,83.35336538461539,99.21875,16.646634615384613,0.78125,0.03176977061018159,0.023128234887424902,0.6782126440048217,77.67,98.83,22.33,1.1700000000000017
